mes_inicio,mes_finalizacion,toneladas_retiradas,anio
DICIEMBRE,ENERO,248.54,2020
ENERO,FEBRERO,144.28,2021
FEBRERO,MARZO,303.62,2021
MARZO,ABRIL,418.8,2021
ABRIL,MAYO,414.66,2021
MAYO,JUNIO,356.54,2021
JUNIO,JULIO,334.18,2021
JULIO,AGOSTO,351.46,2021
SEPTIEMBRE,SEPTIEMBRE,616,2021
OCTUBRE,OCTUBRE,331.42,2021
NOVIEMBRE,NOVIEMBRE,271.31,2021
DICIEMBRE,DICIEMBRE,315.96,2021
