espejo de agua,,,
mes_inicio,mes_finalizacion,toneladas_retiradas,año
OCTUBRE,NOVIEMBRE,300.78,2019
NOVIEMBRE,DICIEMBRE,349.86,2019
DICIEMBRE,ENERO,391.94,2020
ENERO,FEBRERO,345.88,2020
FEBRERO,MARZO,251.62,2020
MARZO,ABRIL,220.62,2020
ABRIL,MAYO,329.04,2020
MAYO,JUNIO,277.74,2020
JUNIO,JULIO,362.36,2020
JULIO,AGOSTO,157.84,2020
AGOSTO,SEPTIEMBRE,303.44,2020
SEPTIEMBRE,OCTUBRE,234.42,2020
OCTUBRE,NOVIEMBRE,260.78,2020
NOVIEMBRE,DICIEMBRE,321.54,2020
