mes_inicio;mes_finalizacion;toneladas_retiradas;anio
Enero;Febrero;399.86;2022
Febrero;Marzo;178.9;2022
Marzo;Abril;243.98;2022
Abril;Abril;284.76;2022
Mayo;Mayo;251.22;2022
Junio;Junio;234.26;2022
Julio;Julio;195.94;2022
Agosto;Agosto;236.66;2022
Septiembre;Septiembre;210.62;2022
Octubre;Octubre;240.46;2022
Noviembre;Noviembre;375.78;2022
Diciembre;Diciembre;549.74;2022
